,name,Classic,Outstanding,Very Good,Good
563,amazing,40,NA,NA,NA
564,among,26,NA,NA,NA
565,apricots,29,NA,NA,NA
566,assertive,25,NA,NA,NA
567,barolo,37,NA,NA,NA
568,beauty,64,NA,NA,NA
569,become,26,NA,NA,NA
570,beyond,42,NA,NA,NA
571,bordeaux,34,NA,NA,NA
572,botrytis,35,NA,NA,NA
573,brilliant,28,NA,NA,NA
574,california,58,NA,NA,NA
575,cases,31,NA,NA,NA
576,certainly,52,NA,NA,NA
577,chopped,30,NA,NA,NA
578,closed,34,NA,NA,NA
579,combination,28,NA,NA,NA
580,combines,28,NA,NA,NA
581,compelling,44,NA,NA,NA
582,complete,34,NA,NA,NA
583,compote,33,NA,NA,NA
584,considerable,39,NA,NA,NA
585,continue,47,NA,NA,NA
586,continues,26,NA,NA,NA
587,creme,32,NA,NA,NA
588,cru,44,NA,NA,NA
589,decade,59,NA,NA,NA
590,decadent,25,NA,NA,NA
591,decades,49,NA,NA,NA
592,deeply,36,NA,NA,NA
593,delivering,25,NA,NA,NA
594,densely,26,NA,NA,NA
595,dessert,27,NA,NA,NA
596,developing,31,NA,NA,NA
597,dont,55,NA,NA,NA
598,drinkable,29,NA,NA,NA
599,dryness,27,NA,NA,NA
600,easily,48,NA,NA,NA
601,emerge,27,NA,NA,NA
602,energy,36,NA,NA,NA
603,enormous,36,NA,NA,NA
604,enticing,62,NA,NA,NA
605,entirely,27,NA,NA,NA
606,eucalyptus,25,NA,NA,NA
607,ever,45,NA,NA,NA
608,every,46,NA,NA,NA
609,everything,40,NA,NA,NA
610,evolve,25,NA,NA,NA
611,exceptional,33,NA,NA,NA
612,extraordinary,27,NA,NA,NA
613,extremely,39,NA,NA,NA
614,fabulous,38,NA,NA,NA
615,family,30,NA,NA,NA
616,fig,33,NA,NA,NA
617,finesse,77,NA,NA,NA
618,finest,28,NA,NA,NA
619,force,28,NA,NA,NA
620,future,46,NA,NA,NA
621,given,27,NA,NA,NA
622,golden,34,NA,NA,NA
623,grace,33,NA,NA,NA
624,grand,64,NA,NA,NA
625,heady,42,NA,NA,NA
626,huge,62,NA,NA,NA
627,immense,55,NA,NA,NA
628,impeccable,34,NA,NA,NA
629,impressively,29,NA,NA,NA
630,improve,36,NA,NA,NA
631,incredibly,46,NA,NA,NA
632,last,50,NA,NA,NA
633,life,31,NA,NA,NA
634,lifted,32,NA,NA,NA
635,likely,26,NA,NA,NA
636,line,28,NA,NA,NA
637,lingers,25,NA,NA,NA
638,loaded,45,NA,NA,NA
639,longer,33,NA,NA,NA
640,longterm,55,NA,NA,NA
641,magnificent,26,NA,NA,NA
642,massive,46,NA,NA,NA
643,minerals,42,NA,NA,NA
644,mouthwatering,25,NA,NA,NA
645,napa,56,NA,NA,NA
646,never,37,NA,NA,NA
647,notions,31,NA,NA,NA
648,opulence,26,NA,NA,NA
649,outstanding,26,NA,NA,NA
650,perfectly,62,NA,NA,NA
651,petal,29,NA,NA,NA
652,pine,33,NA,NA,NA
653,pipe,42,NA,NA,NA
654,pressed,31,NA,NA,NA
655,producers,31,NA,NA,NA
656,promise,35,NA,NA,NA
657,promises,27,NA,NA,NA
658,real,27,NA,NA,NA
659,release,36,NA,NA,NA
660,reserve,26,NA,NA,NA
661,reveals,28,NA,NA,NA
662,sample,48,NA,NA,NA
663,seamless,37,NA,NA,NA
664,seamlessly,27,NA,NA,NA
665,seductive,34,NA,NA,NA
666,selection,29,NA,NA,NA
667,sheer,38,NA,NA,NA
668,simply,27,NA,NA,NA
669,slowly,48,NA,NA,NA
670,something,37,NA,NA,NA
671,spectacular,28,NA,NA,NA
672,stage,35,NA,NA,NA
673,stony,27,NA,NA,NA
674,stunning,90,NA,NA,NA
675,suggests,29,NA,NA,NA
676,superb,77,NA,NA,NA
677,takes,30,NA,NA,NA
678,tension,31,NA,NA,NA
679,throughout,28,NA,NA,NA
680,tilled,34,NA,NA,NA
681,totally,33,NA,NA,NA
682,tremendous,39,NA,NA,NA
683,truffle,36,NA,NA,NA
684,velvet,27,NA,NA,NA
685,violets,37,NA,NA,NA
686,wait,37,NA,NA,NA
687,waves,27,NA,NA,NA
688,within,28,NA,NA,NA
689,wonderful,76,NA,NA,NA
690,wonderfully,39,NA,NA,NA
691,wound,28,NA,NA,NA
692,wrapped,41,NA,NA,NA
693,yeast,29,NA,NA,NA
694,youll,35,NA,NA,NA
695,youthful,28,NA,NA,NA
